NIF empresa,Nº de orden,Nombre empresa,Teléfono gratuito incidencias,Portal de medidas
B57308538,R1-056,VALL DE SOLLER ENERGIA SLU,900 373 067,https://www.valldesollerenergia.es/
B25616970,R1-341,"TALARN DISTRIBUCIÓ MUNICIPAL ELÉCTRICA,SL",900 102 806,https://portal.asemeservicios.com
B22216725,R1-281,"ELECTRO SALLENT DE GÁLLEGO, S.L.",900 264 572,https://portal.asemeservicios.com
B22216733,R1-289,"ELECTRO ESCARRILLA, S.L",900 103 589,https://portal.asemeservicios.com
B22217350,R1-310,"AGRUPACIÓN DISTRIBUIDORA DE ESCUER, S.L.",900 933 490,https://portal.asemeservicios.com
B62136205,R1-205,ICASA DISTRIBUCION ENERGIA SL,900 10 17 08,https://portal.asemeservicios.com
B25428905,R1-314,"EMPRESA MUNICIPAL DE DISTRIBUCIÓ D'ENERGIA ELÈCTRICA DE PONTS, SL",900 834 464,
B14421390,R1-053,"DIELESUR, SL",900 818 903,https://dielesur.cide.net/clientes/pvpc
B40268443,R1-051,"JUAN DE FRUTOS GARCIA DISTRIBUCIÓN ELÉCTRICA, S.L.U",900 373 109,https://jdfg.cide.net/clientes/pvpc
B17454091,R1-085,"CENTRAL ELECTRICA MITJANS,SL",900 373 523,http://80.35.34.4/CCH/mitjans/
B04296000,R1-163,DIELEC GUERRERO LORENTE SL,900 818 896,https://dielecguerrerolorente.cide.net/clientes/pvpc
B14466601,R1-109,INPECUARIAS VILLARALTO S.L,900 373 207,https://inpecuariasvillaralto.cide.net/clientes/pvpc
B98788003,R1-151,"DISTRIBUIDORA ELÉCTRICA ALBATERENSE NUESTRA SEÑORA DE LA LUZ, S.L.U.",900 907 692,https://portal.asemeservicios.com
A11301645,R1-034,"ELECTRICIDAD DE PUERTO REAL, S.A. (EPRESA)",900 810 806,https://portal.asemeservicios.com
A11355526,R1-021,"SUMINISTRADORA ELECTRICA DE CADIZ, S.A",900 373 075,https://portal.asemeservicios.com
A17448358,R1-014,"AGRI-ENERGIA ELECTRICA, SA",900 727 272,https://portal.asemeservicios.com
A22194856,R1-055,"ELÉCTRICA DE BARBASTRO, S.A.",900 828 361,https://portal.asemeservicios.com
B25460494,R1-273,EMPRESA MUNICIPAL ENERGIA ELECTRICA TORRES DE SEGRE SL,900 834 985,https://portal.asemeservicios.com
B17450305,R1-052,"LERSA ELECTRICITAT, S.L",900 373 278,https://portal.asemeservicios.com
A40029399,R1-143,SERVILIANO GARCÍA S.A,900 373 442,https://portal.asemeservicios.com
B24319311,R1-029,"DISTRIBUIDORA ELÉCTRICA DEL SIL, S.L",900 701 026,https://portal.asemeservicios.com
B82958919,R1-048,"LA PROHIDA DISTRIBUCIÓN ELÉCTRICA, S.L",900 373 396,https://portal.asemeservicios.com
F22003412,R1-059,GRUPO DE ELECTRIFICACIÓN RURAL DE BINÉFAR Y COMARCA SOC. COOP,900 102 901,https://portal.asemeservicios.com
A02373090,R1-323,FUERZAS ELÉCTRICAS DE BOGARRA S.A.  -FOBOSA-,900 373 759,https://febosa.cide.net/clientes/pvpc
A33591611,R1-008,HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U,900 907 001,https://misconsumos.eredesdistribucion.es
A17451733,R1-015,"BASSOLS ENERGÍA, S.A",900 649 164,https://www.bassolsdistribucio.com/
B64744642,R1-363,"ELECTRA DEL LLOBREGAT ENERGÍA, S.L",900 373 176,https://misconsumos.eredesdistribucion.es/#/
B24291833,R1-239,"SALTOS DEL CABRERA,S L",900 373 821,https://portal.asemeservicios.com
B24373367,R1-187,"HIDROELECTRICA DEL CABRERA,S L",900 373 679,https://portal.asemeservicios.com
B17011404,R1-231,"ELECTRICA CUROS, SL",900 649 164,http://www.curosdistribucio.com
B24014151,R1-149,HIJOS DE FELIPE GARCIA ALVAREZ SL,900 373 078,https://portal.asemeservicios.com
B25799172,R1-020,PEUSA DISTRIBUCIO SLU,900 373 057,https://portal.asemeservicios.com
B54862602,R1-033,DISTRIBUCIÓN ELÉCTRICA CREVILLENT S.L.U.,900 373 187,http://www.enercoopdistribucion.es
B02164044,R1-194,EMPRESA ELÉCTRICA DE SAN PEDRO S.L,900 373 761,http://www.concentradorsecundario.com/PVPC
B10263952,R1-049,ELECTRICAS PITARCH DISTRIBUCION SLU,900 202 125 ,https://portal.eosaenergia.es
F17008442,R1-153,COOPERATIVA POPULAR DE FLUID ELECTRIC CAMPRODON SCCL,900 10 22 80,http://80.35.34.4/CCH/camprodon/
A95075578,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",900 171 171,https://www.i-de.es/consumidores/web/guest
B98791353,R1-060,"ALGINET DISTRIBUCIÓN ENERGÍA ELÉCTRICA, S.L.U",900 850 510,http://consumos.grupcev.es
B17612185,R1-062,"SUMINISTRO DE LUZ Y FUERZA, S.L",800 760 706,https://zonaprivada.edistribucion.com/areaprivada
B62733159,R1-005,"VIESGO DISTRIBUCIÓN ELECTRICA, S.L",900 10 10 51,https://www.viesgodistribucion.com/consumo
A63222533,R1-002,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",900 333 999,https://areaprivada.ufd.es/
B82846817,R1-299,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,"Atención al cliente: 900 878 119 Andalucía, Extremadura, Murcia, Castilla La Mancha y Ceuta: 900 850 840 Aragón, Castilla y León, Galicia, La Rioja, Navarra y Comunidad Valenciana: 900 848 900 Baleares: 900 849 900 Canarias: 900 855 885 Cataluña: 800 760 706",https://zonaprivada.edistribucion.com/areaprivada
A08002834,R1-016,ELECTRA CALDENSE S.A,900 181 776,http://corbaenergetica.electracaldense.com
B62418983,R1-268,ELECTRADISTRIBUCIÓ CENTELLES S.L.,900 10 11 78,https://portal.asemeservicios.com
A61121752,R1-018,"ESTABANELL Y PAHISA ENERGÍA, S.A.",900 154 444,https://portal.asemeservicios.com
A17126079,R1-066,ELECTRICA VAQUER SA,900 10 33 79,https://portal.asemeservicios.com
A29900032,R1-027,COMPAÑIA MELILLENSE DE GAS Y ELECTRICIDAD S.A,800 007 322,http://portal.gaselecenergia.es
B81246258,R1-032,RELKIA DISTRIBUIDORA DE ELECTRICIDAD S.L.,900 200 190,https://relkia.cide.net/clientes/
B36000180,R1-076,ELECTRICA DE MOSCOSO S.L,900 102 063,http://emoscoso.com/clientes/pvpc
A46375036,R1-248,ELECTRICA SAAVEDRA S.A,900 373 193,https://electricasaavedra.cide.net/clientes/pvpc
B22280259,R1-343,ENERGÍAS DE LA VILLA DE CAMPO COMERCIALIZADORA S.L.U.,900 101 533,https://portal.asemeservicios.com
A33005265,R1-064,"ELECTRA DE CARBAYIN, S.A.U",900 830 014,http://www.concentradorsecundario.com/PVPC
B15457971,R1-071,"ELECTRA DEL GAYOSO, S.L",900 649 429,http://www.gayoso.org/clientes/pvpc
B50851468,R1-026,ENERGÍAS DE ARAGÓN I S.L.,900 848 900,https://zonaprivada.edistribucion.com/areaprivada
A38471199,R1-294,"DISTRIBUIDORA ELÉCTRICA DEL PUERTO DE LA CRUZ, S.A",900 855 885,https://zonaprivada.edistribucion.com/areaprivada
B17114273,R1-091,"ELECTRA AVELLANA, SL",900 373 204,http://www.concentradorsecundario.com/PVPC
B98821796,R1-161,"FLUIDO ELÉCTRICO MUSEROS DISTRIBUCIÓN ELÉCTRICA, S.L.U.",900 103 206,https://portal.asemeservicios.com
B98824394,R1-160,EDFA CASABLANCA DISTRIBUIDORA SLU,900 834 465,https://portal.asemeservicios.com
A33001983,R1-003,"BARRAS ELÉCTRICAS GALAICO-ASTURIANAS, S. A",900 10 10 51,https://www.viesgodistribucion.com/consumo
B36011773,R1-079,ELECTRICA LOS MOLINOS SLU,900 373 748,https://elemol.cide.net/clientes/pvpc
B25467887,R1-296,DISTRIBUIDORA ELÈCTRICA D'ALBATÀRREC S.L,900 720 013,https://portal.asemeservicios.com
A16196388,R1-009,ELÉCTRICA CONQUENSE DISTRIBUCIÓN S.A.,900 23 34 23,https://www.electricaconquense.com/consumidor
B12571360,R1-353,"ELÉCTRICAS COLLADO BLANCO, S L",900 102 764,https://portal.asemeservicios.com
B12573440,R1-354,LLUM D'AIN SL,900 103 205 ,
B98109721,R1-355,"ELÉCTRICAS LA ENGUERINA, S L",900 333 334,https://portal.asemeservicios.com
B15008014,R1-078,"FUCIÑOS RIVAS, S L",900 701 152,http://fucinosrivas.es/clientes/pvpc
B24224248,R1-225,"ELÉCTRICA BAÑESA, SL",900 373 453,http://188.210.216.60/cch/pruebacch/login
B24374647,R1-213,"ELÉCTRICAS DE BENUZA, SL",900 373 453,http://188.210.216.60/cch/pruebacch/login
B98824360,R1-154,ELÉCTRICA DE ALGIMIA DE ALFARA DISTRIBUIDORA S.L.U.,900 83 44 66,https://portal.asemeservicios.com
